epoch,step,train_loss,val_loss
0,49,0.003528151661157608,
1,99,0.002118338830769062,
1,101,,0.002256668172776699
2,149,0.0018719257786870003,
3,199,0.0014789443230256438,
3,203,,0.0016465948428958654
4,249,0.0014237596187740564,
5,299,0.0013743892777711153,
5,305,,0.001660459442064166
6,349,0.001542382757179439,
7,399,0.001276060240343213,
7,407,,0.0016065877862274647
8,449,0.0015035792021080852,
9,499,0.001530586974695325,
9,509,,0.0015307299327105284
10,549,0.0015566874062642455,
11,599,0.0011471468023955822,
11,611,,0.0014559412375092506
12,649,0.0009827292524278164,
13,699,0.0008756974129937589,
13,713,,0.0014240741729736328
14,749,0.0008548374753445387,
15,799,0.0010592617327347398,
15,815,,0.0013967260019853711
16,849,0.001194045296870172,
17,899,0.0009793252684175968,
17,917,,0.0013085012324154377
18,949,0.0008787874830886722,
19,999,0.0008578257402405143,
19,1019,,0.0013425035867840052
